!!SBtab TableID='Protein' TableType='Quantity' Unit='mmol/gCDW' Organism='Escherichia coli'
% Concentrations of polypeptide chains across conditions in units of mmol/gCDW; rows correspond to enzymatic polypeptide chains with expression levels > 0 in at least one condition.
!QuantityType	!Gene:LocusName	!Gene:Name	GLC_CHEM_mu_0_11_V	GLC_CHEM_mu_0_12_S	GLC_CHEM_mu_0_20_S	GLC_CHEM_mu_0_21_P	GLC_CHEM_mu_0_21_V	GLC_CHEM_mu_0_22_P	GLC_CHEM_mu_0_26_P	GAL_BATCH_mu_0_26_S	ACE_BATCH_mu_0_3_S	GLC_CHEM_mu_0_31_P	GLC_CHEM_mu_0_31_V	GLC_CHEM_mu_0_35_S	GLC_CHEM_mu_0_36_P	PYR_BATCH_mu_0_4_S	GLC_CHEM_mu_0_40_V	GLC_CHEM_mu_0_41_P	FUM_BATCH_mu_0_42_S	SUCC_BATCH_mu_0_44_S	GLC_CHEM_mu_0_46_P	GAM_BATCH_mu_0_46_S	GLYC_BATCH_mu_0_47_S	MAN_BATCH_mu_0_47_S	GLC_CHEM_mu_0_49_V	GLC_CHEM_mu_0_50_S	GLC_CHEM_mu_0_51_P	GLC_SALTS_BATCH_mu_0_55_S	XYL_BATCH_mu_0_55_S	GLC_BATCH_mu_0_58_S	GLC_pH6_BATCH_mu_0_63_S	FRU_BATCH_mu_0_65_S	GLC_42deg_BATCH_mu_0_66_S
concentration of enzyme	b2029	gnd	2.30E-05	1.60E-05	1.90E-05	3.60E-05	2.80E-05	3.50E-05	2.20E-05	3.70E-05	2.40E-05	4.10E-05	3.50E-05	2.20E-05	4.50E-05	2.80E-05	3.90E-05	4.90E-05	2.70E-05	3.10E-05	3.20E-05	5.50E-05	3.20E-05	2.80E-05	5.20E-05	3.10E-05	6.10E-05	4.50E-05	3.70E-05	5.00E-05	5.00E-05	3.50E-05	5.50E-05
concentration of enzyme	b2103	thiD	7.70E-06			3.10E-06	7.20E-06	2.90E-06		2.70E-06		2.60E-06	5.90E-06	5.00E-08	2.30E-06	1.00E-07	5.60E-06	2.20E-06	7.90E-08	8.20E-08	5.80E-08	2.10E-06	2.10E-07		5.30E-06		2.10E-06		7.60E-08	9.90E-08			8.10E-08
concentration of enzyme	b2153	folE	7.30E-06	6.90E-06	1.00E-05	1.10E-05	8.80E-06	1.10E-05	1.60E-05	1.20E-05	1.30E-05	1.20E-05	9.40E-06	1.30E-05	1.20E-05	2.10E-05	9.60E-06	1.30E-05	1.90E-05	2.00E-05	2.20E-05	1.30E-05	2.60E-05	1.60E-05	1.10E-05	2.20E-05	1.40E-05	3.60E-05	3.70E-05	5.00E-05	3.40E-05	3.00E-05	2.30E-05
concentration of enzyme	b2312	purF	8.90E-07	9.00E-07	1.00E-06	1.10E-06	6.80E-07	1.20E-06	1.10E-06	1.30E-06	1.20E-06	1.50E-06	9.80E-07	1.30E-06	1.50E-06	2.00E-06	1.60E-06	1.90E-06	1.30E-06	1.60E-06	1.70E-06	2.30E-06	1.50E-06	1.70E-06	1.60E-06	1.70E-06	2.30E-06	1.40E-06	1.40E-06	2.70E-06	1.30E-06	2.10E-06	2.60E-06
concentration of enzyme	b2315	folC		6.00E-07	7.20E-07	3.30E-07		3.60E-07	6.30E-07	3.60E-07	7.60E-07	4.20E-07		7.50E-07	4.40E-07	9.50E-07		3.70E-07	9.80E-07	9.40E-07	1.10E-06	4.20E-07	1.10E-06	8.10E-07		8.80E-07	4.20E-07	7.60E-07	9.50E-07	1.30E-06	1.10E-06	9.00E-07	1.00E-06
concentration of enzyme	b2320	pdxB	3.70E-06	1.90E-06	1.90E-06	2.30E-06	3.40E-06	2.30E-06	2.60E-06	2.10E-06	1.70E-06	2.30E-06	3.50E-06	2.00E-06	2.20E-06	2.50E-06	3.10E-06	2.20E-06	2.10E-06	2.60E-06	2.50E-06	2.20E-06	2.50E-06	2.20E-06	2.90E-06	2.20E-06	2.10E-06	2.70E-06	2.60E-06	2.60E-06	3.30E-06	2.90E-06	2.80E-06
concentration of enzyme	b2323	fabB	2.70E-05	5.00E-05	4.90E-05	6.40E-05	2.20E-05	6.40E-05	5.50E-05	6.60E-05	4.80E-05	6.30E-05	1.50E-05	4.80E-05	5.40E-05	5.70E-05	1.30E-05	5.10E-05	5.10E-05	5.50E-05	5.20E-05	4.80E-05	5.30E-05	4.80E-05	1.10E-05	4.80E-05	4.50E-05	4.40E-05	4.70E-05	4.80E-05	5.30E-05	4.20E-05	5.20E-05
concentration of enzyme	b2329	aroC	2.10E-06	2.20E-06	2.40E-06	1.30E-06	2.10E-06	1.40E-06	2.80E-06	1.20E-06	2.30E-06	1.30E-06	2.40E-06	2.60E-06	1.40E-06	2.60E-06	1.40E-06	1.30E-06	2.60E-06	2.60E-06	2.40E-06	1.30E-06	2.60E-06	2.30E-06	2.10E-06	2.70E-06	1.30E-06	3.00E-06	3.20E-06	2.80E-06	2.40E-06	2.60E-06	2.60E-06
concentration of enzyme	b2400	gltX	8.00E-06	4.30E-06	4.90E-06	7.00E-06	8.60E-06	7.00E-06	5.20E-06	7.60E-06	6.40E-06	7.80E-06	9.40E-06	5.30E-06	7.70E-06	6.70E-06	9.50E-06	8.00E-06	7.00E-06	6.60E-06	7.00E-06	8.60E-06	7.30E-06	6.10E-06	1.10E-05	6.00E-06	8.90E-06	7.80E-06	8.50E-06	9.10E-06	8.30E-06	7.40E-06	7.80E-06
concentration of enzyme	b2436	hemF		8.50E-08	7.70E-08				9.60E-08		1.50E-07			2.10E-07		1.80E-07			2.10E-07	1.10E-07	1.90E-07		1.30E-07			1.60E-07			2.60E-07	4.10E-07	3.50E-07		4.70E-07
concentration of enzyme	b2472	dapE	3.40E-07	2.10E-07	2.50E-07		3.80E-07	2.00E-07	1.80E-07		2.20E-07	1.80E-07	3.20E-07	2.90E-07	1.50E-07	2.20E-07	3.40E-07	1.60E-07	1.90E-07	2.70E-07	2.30E-07	1.80E-07	2.30E-07	1.70E-07	3.70E-07	3.00E-07	1.90E-07	3.10E-07	3.40E-07	2.60E-07	4.50E-07	3.20E-07	1.60E-07
concentration of enzyme	b2476	purC	1.50E-05	1.50E-05	1.70E-05	3.60E-05	1.70E-05	3.70E-05	2.10E-05	3.70E-05	2.20E-05	3.60E-05	1.50E-05	2.00E-05	3.60E-05	3.50E-05	1.60E-05	3.60E-05	2.70E-05	2.50E-05	2.80E-05	3.60E-05	2.70E-05	2.40E-05	1.70E-05	2.60E-05	3.80E-05	3.30E-05	4.00E-05	2.90E-05	4.50E-05	2.50E-05	3.00E-05
concentration of enzyme	b2478	dapA	4.20E-06	6.40E-06	9.40E-06	5.60E-06	5.30E-06	5.60E-06	1.10E-05	6.10E-06	1.00E-05	5.90E-06	6.20E-06	9.60E-06	6.80E-06	1.30E-05	6.20E-06	6.40E-06	1.20E-05	1.60E-05	1.30E-05	6.40E-06	1.50E-05	1.40E-05	4.80E-06	1.10E-05	6.30E-06	1.80E-05	1.80E-05	1.30E-05	1.70E-05	1.70E-05	1.40E-05
concentration of enzyme	b2499	purM	3.40E-06	3.80E-06	4.80E-06	4.70E-06	4.30E-06	4.30E-06	8.00E-06	4.70E-06	5.20E-06	5.10E-06	5.00E-06	5.10E-06	5.40E-06	1.10E-05	5.70E-06	6.40E-06	8.10E-06	7.10E-06	8.60E-06	6.90E-06	8.70E-06	6.50E-06	7.50E-06	7.80E-06	7.90E-06	7.70E-06	9.60E-06	9.00E-06	9.10E-06	8.10E-06	9.20E-06
concentration of enzyme	b2500	purN	6.70E-07	7.20E-07	7.60E-07		6.70E-07		1.10E-06	4.80E-07	1.00E-06	5.30E-07	8.40E-07	8.50E-07	4.00E-07	1.40E-06	7.20E-07	4.60E-07	1.10E-06	1.10E-06	1.50E-06	5.60E-07	1.10E-06	1.00E-06	9.70E-07	8.60E-07	6.30E-07	1.30E-06	2.00E-06	1.60E-06	1.60E-06	1.30E-06	1.40E-06
concentration of enzyme	b2507	guaA	7.10E-06	4.30E-06	5.40E-06	6.20E-06	8.60E-06	6.40E-06	5.90E-06	7.80E-06	6.10E-06	8.40E-06	1.10E-05	6.20E-06	9.10E-06	6.60E-06	1.20E-05	1.00E-05	8.30E-06	9.60E-06	9.70E-06	1.10E-05	8.80E-06	6.40E-06	1.60E-05	8.90E-06	1.30E-05	9.60E-06	1.10E-05	1.40E-05	1.10E-05	1.00E-05	1.10E-05
concentration of enzyme	b2508	guaB	1.40E-05	1.30E-05	1.40E-05	1.00E-05	1.70E-05	1.00E-05	1.50E-05	1.30E-05	1.80E-05	1.40E-05	1.90E-05	1.70E-05	1.60E-05	1.80E-05	2.30E-05	1.60E-05	2.40E-05	2.60E-05	2.30E-05	1.80E-05	2.10E-05	1.80E-05	2.80E-05	2.60E-05	2.00E-05	3.20E-05	4.70E-05	4.00E-05	3.90E-05	2.60E-05	2.70E-05
concentration of enzyme	b2529	nifU	1.60E-05	1.70E-05	2.30E-05	3.40E-05	2.10E-05	3.50E-05	3.50E-05	3.10E-05	3.00E-05	3.30E-05	2.30E-05	2.90E-05	3.10E-05	2.80E-05	1.90E-05	3.10E-05	2.60E-05	2.50E-05	2.40E-05	2.80E-05	3.40E-05	3.60E-05	1.90E-05	3.80E-05	2.60E-05	4.60E-05	5.00E-05	3.30E-05	2.50E-05	4.20E-05	4.00E-05
concentration of enzyme	b2530	iscS	2.10E-05	2.30E-05	3.20E-05	3.30E-05	2.40E-05	3.40E-05	4.10E-05	3.30E-05	4.10E-05	3.40E-05	2.40E-05	3.50E-05	3.00E-05	4.00E-05	2.10E-05	3.00E-05	3.60E-05	3.40E-05	3.80E-05	2.80E-05	4.70E-05	4.70E-05	2.00E-05	4.70E-05	2.60E-05	5.60E-05	4.20E-05	4.80E-05	3.60E-05	4.90E-05	5.40E-05
concentration of enzyme	b2551	glyA	3.00E-05	2.70E-05	3.30E-05	4.30E-05	3.70E-05	4.30E-05	5.70E-05	4.50E-05	4.00E-05	4.60E-05	3.60E-05	3.90E-05	4.60E-05	6.20E-05	4.60E-05	4.60E-05	5.50E-05	6.50E-05	6.40E-05	4.90E-05	5.40E-05	6.10E-05	4.70E-05	5.00E-05	5.30E-05	7.90E-05	9.00E-05	8.70E-05	8.30E-05	7.10E-05	6.70E-05
concentration of enzyme	b2557	purL	5.20E-06	6.50E-06	7.10E-06	3.50E-06	6.20E-06	3.40E-06	7.10E-06	3.70E-06	6.30E-06	3.70E-06	7.00E-06	7.30E-06	3.70E-06	1.10E-05	7.70E-06	3.90E-06	8.20E-06	7.50E-06	7.50E-06	4.40E-06	7.90E-06	6.70E-06	9.70E-06	8.50E-06	4.60E-06	6.20E-06	4.80E-06	8.70E-06	5.90E-06	8.20E-06	6.40E-06
concentration of enzyme	b2574	nadB			5.30E-08									7.10E-08		1.10E-07				6.60E-08	6.90E-08		8.00E-08	8.40E-08		9.40E-08		8.70E-08	1.00E-07	1.10E-07	1.40E-07	1.30E-07	1.20E-07
concentration of enzyme	b2585	pssA	4.80E-06	3.60E-06	2.70E-06	1.90E-06	4.90E-06	1.90E-06	1.50E-06	1.70E-06	1.20E-06	1.60E-06	3.30E-06	2.70E-06	1.40E-06	1.80E-06	2.70E-06	1.30E-06	1.60E-06	1.60E-06	1.60E-06	1.10E-06	1.50E-06	1.50E-06	2.10E-06	2.20E-06	1.10E-06	9.50E-07	6.30E-07	1.00E-06	8.00E-07	1.40E-06	8.10E-07
concentration of enzyme	b2585	pssA	4.80E-06	3.60E-06	2.70E-06	1.90E-06	4.90E-06	1.90E-06	1.50E-06	1.70E-06	1.20E-06	1.60E-06	3.30E-06	2.70E-06	1.40E-06	1.80E-06	2.70E-06	1.30E-06	1.60E-06	1.60E-06	1.60E-06	1.10E-06	1.50E-06	1.50E-06	2.10E-06	2.20E-06	1.10E-06	9.50E-07	6.30E-07	1.00E-06	8.00E-07	1.40E-06	8.10E-07
concentration of enzyme	b2599	pheA	2.50E-06	1.80E-05	1.50E-05	1.60E-05	2.60E-06	1.70E-05	1.00E-05	1.40E-05	4.70E-06	1.20E-05	2.70E-06	1.10E-05	1.00E-05	4.60E-06	2.20E-06	9.00E-06	4.90E-06	5.40E-06	5.80E-06	7.30E-06	5.60E-06	5.80E-06	2.30E-06	7.60E-06	6.60E-06	3.30E-06	2.50E-06	5.60E-06	2.70E-06	5.00E-06	3.90E-06
concentration of enzyme	b2600	tyrA	6.00E-07	1.70E-06	1.90E-06	1.10E-06	5.30E-07	1.10E-06	2.90E-06	1.20E-06	3.80E-06	1.20E-06	5.30E-07	2.10E-06	1.60E-06	9.10E-06	1.20E-06	2.00E-06	2.30E-06	2.30E-06	2.90E-06	2.50E-06	4.70E-06	2.80E-06	1.10E-06	3.90E-06	2.80E-06	1.60E-06	1.70E-06	5.00E-06	2.40E-06	6.10E-06	4.20E-06
concentration of enzyme	b2615	ppnK	5.10E-07				5.20E-07						3.90E-07				3.40E-07								3.10E-07					6.70E-08			
concentration of enzyme	b2687	luxS	2.10E-05	1.60E-05	1.90E-05	2.10E-05	1.80E-05	2.10E-05	2.80E-05	1.90E-05	2.30E-05	2.00E-05	2.00E-05	1.70E-05	2.00E-05	2.30E-05	2.10E-05	2.10E-05	2.10E-05	2.10E-05	2.50E-05	2.10E-05	2.60E-05	2.50E-05	2.30E-05	1.90E-05	2.20E-05	2.90E-05	5.20E-05	2.40E-05	6.00E-05	2.60E-05	4.70E-05
concentration of enzyme	b2746	ispF		5.20E-06	5.30E-06	5.50E-06		5.80E-06	5.20E-06	4.00E-06	5.10E-06	4.40E-06		5.10E-06	4.50E-06	4.90E-06		3.90E-06	4.90E-06	6.60E-06	4.60E-06	3.70E-06	5.90E-06	6.30E-06		5.50E-06	4.00E-06	5.90E-06	6.30E-06	5.30E-06	5.50E-06	5.40E-06	4.90E-06
concentration of enzyme	b2747	ispD		2.10E-07	2.40E-07				1.40E-07		2.10E-07			2.40E-07		2.10E-07			2.30E-07	1.10E-07	1.90E-07		1.90E-07	1.10E-07		2.70E-07		1.90E-07	2.90E-07	2.40E-07	2.70E-07	1.40E-07	1.20E-07
concentration of enzyme	b2750	cysC		6.70E-07	7.70E-07	7.90E-07		7.90E-07	1.20E-06	1.00E-06	2.10E-06	1.30E-06		1.20E-06	1.30E-06	1.90E-06		1.50E-06	2.00E-06	1.80E-06	1.90E-06	1.50E-06	2.10E-06	1.50E-06		1.70E-06	1.70E-06	1.90E-06	1.70E-06	3.00E-06	2.80E-06	2.00E-06	2.40E-06
concentration of enzyme	b2779	eno	9.40E-05	7.70E-05	6.80E-05	9.80E-05	7.90E-05	1.00E-04	1.20E-04	9.30E-05	8.40E-05	9.50E-05	7.80E-05	6.60E-05	1.00E-04	7.90E-05	7.90E-05	1.10E-04	8.50E-05	9.20E-05	1.20E-04	1.20E-04	1.00E-04	1.00E-04	9.60E-05	9.00E-05	1.20E-04	1.70E-04	1.60E-04	1.30E-04	1.70E-04	1.80E-04	1.30E-04
concentration of enzyme	b2780	pyrG	2.10E-06	1.40E-06	1.70E-06	3.40E-06	2.60E-06	3.40E-06	2.20E-06	4.10E-06	1.70E-06	4.40E-06	3.40E-06	1.90E-06	4.90E-06	2.50E-06	3.80E-06	5.30E-06	2.60E-06	2.90E-06	2.40E-06	5.80E-06	2.90E-06	2.20E-06	4.20E-06	2.60E-06	6.30E-06	2.80E-06	2.20E-06	3.40E-06	2.50E-06	3.10E-06	2.70E-06
concentration of enzyme	b2818	argA	1.00E-06	9.40E-07	8.20E-07		1.20E-06		5.50E-07		6.90E-07	1.90E-07	1.30E-06	8.60E-07	2.00E-07	9.90E-07	2.00E-06	2.10E-07	7.50E-07	7.60E-07	7.60E-07	1.90E-07	9.60E-07	9.00E-07	1.70E-06	1.40E-06	1.80E-07	9.80E-07	6.70E-07	1.20E-06	7.10E-07	1.10E-06	1.00E-06
concentration of enzyme	b2827	thyA	9.50E-07	5.60E-07	8.60E-07	7.60E-07	1.00E-06	7.50E-07	7.50E-07	7.10E-07	9.00E-07	7.40E-07	1.10E-06	7.50E-07	7.90E-07	1.10E-06	9.70E-07	8.20E-07	1.20E-06	1.40E-06	1.30E-06	7.30E-07	1.30E-06	1.10E-06	1.10E-06	1.10E-06	7.40E-07	1.30E-06	1.00E-06	1.40E-06	8.60E-07	1.50E-06	6.50E-07
concentration of enzyme	b2838	lysA	5.90E-07	1.00E-06	1.60E-06		7.60E-07		1.70E-06		1.60E-06	7.50E-07	9.00E-07	2.20E-06		2.20E-06	9.60E-07		2.50E-06	2.80E-06	2.00E-06		2.70E-06	1.90E-06	1.20E-06	2.80E-06		2.80E-06	2.50E-06	2.60E-06	2.90E-06	3.30E-06	2.30E-06
concentration of enzyme	b2913	serA	1.90E-05	1.80E-05	2.00E-05	3.10E-05	2.30E-05	3.20E-05	1.90E-05	3.50E-05	2.00E-05	3.80E-05	2.80E-05	2.60E-05	4.30E-05	2.50E-05	4.00E-05	4.80E-05	1.90E-05	1.70E-05	2.90E-05	5.70E-05	2.30E-05	1.10E-05	4.60E-05	3.60E-05	7.00E-05	4.30E-05	4.00E-05	4.00E-05	4.80E-05	2.60E-05	3.50E-05
concentration of enzyme	b2925	fbaA	5.50E-05	3.70E-05	4.00E-05	4.50E-05	4.80E-05	4.40E-05	5.10E-05	4.30E-05	5.00E-05	4.40E-05	4.70E-05	3.90E-05	4.40E-05	5.60E-05	4.80E-05	4.50E-05	5.50E-05	4.90E-05	5.50E-05	4.60E-05	6.00E-05	4.10E-05	6.00E-05	5.10E-05	4.60E-05	6.30E-05	8.60E-05	7.10E-05	8.00E-05	8.30E-05	5.50E-05
concentration of enzyme	b2926	pgk	7.20E-05	1.10E-04	1.00E-04	9.50E-05	6.30E-05	9.60E-05	1.40E-04	8.90E-05	1.30E-04	8.70E-05	6.20E-05	1.10E-04	8.70E-05	1.10E-04	5.70E-05	8.40E-05	1.20E-04	1.10E-04	1.20E-04	8.50E-05	1.30E-04	9.60E-05	5.60E-05	1.20E-04	7.90E-05	1.50E-04	1.60E-04	1.40E-04	1.40E-04	1.60E-04	1.30E-04
concentration of enzyme	b2942	metK	1.30E-05	1.90E-05	2.10E-05	2.10E-05	1.30E-05	2.20E-05	2.20E-05	2.10E-05	1.60E-05	2.10E-05	1.60E-05	2.20E-05	2.30E-05	2.70E-05	2.40E-05	2.40E-05	2.10E-05	2.40E-05	2.90E-05	2.80E-05	2.60E-05	2.50E-05	2.00E-05	2.90E-05	3.20E-05	4.10E-05	4.70E-05	4.40E-05	8.00E-05	2.90E-05	5.30E-05
concentration of enzyme	b3018	plsC		2.00E-07	2.50E-07			5.40E-08	1.40E-07		1.10E-07			2.90E-07		1.90E-07		5.30E-08	1.00E-07	1.10E-07	2.20E-07		1.50E-07	1.40E-07		3.20E-07		2.30E-07	1.30E-07	1.50E-07	1.40E-07	2.30E-07	1.60E-07
concentration of enzyme	b3018	plsC		2.00E-07	2.50E-07			5.40E-08	1.40E-07		1.10E-07			2.90E-07		1.90E-07		5.30E-08	1.00E-07	1.10E-07	2.20E-07		1.50E-07	1.40E-07		3.20E-07		2.30E-07	1.30E-07	1.50E-07	1.40E-07	2.30E-07	1.60E-07
concentration of enzyme	b3041	ribB	7.60E-07	5.20E-07	8.40E-07	4.40E-07			1.20E-06		1.00E-06	4.80E-07	1.10E-06	6.40E-07		1.90E-06	1.10E-06	4.70E-07	1.40E-06	8.70E-07	1.70E-06		2.40E-06	9.10E-07	9.80E-07	9.90E-07	3.70E-07	1.20E-06	1.40E-06	1.30E-06	1.50E-06	9.50E-07	8.90E-07
concentration of enzyme	b3058	folB		2.90E-07	4.70E-07				3.50E-07	5.50E-07	3.90E-07	5.50E-07		4.70E-07		2.70E-07			4.00E-07	2.80E-07	1.40E-07		6.20E-07			4.50E-07		4.20E-07	5.00E-07	6.40E-08	2.20E-07	3.90E-07	1.70E-07
concentration of enzyme	b3172	argG	8.50E-06	1.20E-05	1.20E-05	1.70E-05	1.10E-05	1.80E-05	1.30E-05	1.90E-05	1.00E-05	2.30E-05	1.70E-05	1.00E-05	2.50E-05	1.30E-05	2.30E-05	3.10E-05	1.30E-05	1.50E-05	1.60E-05	3.60E-05	1.60E-05	1.50E-05	3.10E-05	1.60E-05	4.00E-05	1.80E-05	1.70E-05	3.00E-05	2.10E-05	2.00E-05	2.80E-05
concentration of enzyme	b3176	glmM	4.80E-06	6.00E-06	5.80E-06	4.60E-06	5.00E-06	4.40E-06	4.20E-06	4.20E-06	3.20E-06	4.70E-06	5.00E-06	5.30E-06	4.90E-06	4.50E-06	4.60E-06	4.60E-06	4.00E-06	3.70E-06	4.80E-06	4.60E-06	4.20E-06	4.60E-06	4.40E-06	5.40E-06	4.70E-06	4.80E-06	4.00E-06	3.90E-06	4.70E-06	4.90E-06	5.40E-06
concentration of enzyme	b3177	folP		2.90E-07	3.70E-07	3.70E-07		3.90E-07	4.70E-07	4.40E-07	6.40E-07	4.60E-07		4.90E-07		6.10E-07		5.40E-07	6.90E-07	7.40E-07	7.30E-07		6.40E-07	5.10E-07		6.80E-07	5.80E-07	7.40E-07	9.20E-07	7.90E-07	7.60E-07	6.00E-07	7.20E-07
concentration of enzyme	b3187	ispB	1.20E-06	2.60E-07	2.50E-07		1.20E-06	3.70E-07	1.50E-07		2.80E-07	4.50E-07	1.50E-06	2.30E-07	4.50E-07	3.00E-07	1.30E-06		3.10E-07	1.90E-07	3.30E-07	3.60E-07	2.20E-07	2.10E-07	1.60E-06	2.00E-07	3.90E-07	1.80E-07	1.20E-07	2.90E-07	1.50E-07	1.90E-07	1.40E-07
concentration of enzyme	b3189	murA	1.90E-06	1.60E-06	1.70E-06	1.60E-06	2.10E-06	1.70E-06	1.60E-06	1.90E-06	1.50E-06	1.80E-06	2.20E-06	1.80E-06	1.80E-06	2.10E-06	2.10E-06	1.90E-06	1.60E-06	1.60E-06	2.30E-06	2.10E-06	2.40E-06	1.40E-06	2.30E-06	2.00E-06	1.90E-06	2.00E-06	2.00E-06	2.30E-06	1.50E-06	1.80E-06	1.60E-06
concentration of enzyme	b3198	kdsC	1.50E-06	6.50E-07	7.60E-07		1.90E-06	1.00E-06	1.30E-06	1.10E-06	7.70E-07	1.00E-06	2.00E-06	6.20E-07	1.10E-06	6.80E-07	1.90E-06	9.10E-07	7.10E-07	1.10E-06	6.10E-07	1.00E-06	7.20E-07	6.70E-07	1.40E-06	7.90E-07	1.00E-06	1.20E-06	1.20E-06	7.20E-07	1.10E-06	9.10E-07	7.00E-07
concentration of enzyme	b3236	mdh	1.40E-04	2.20E-04	2.40E-04	3.40E-04	1.60E-04	3.40E-04	2.30E-04	3.50E-04	5.20E-04	3.30E-04	1.60E-04	2.50E-04	3.20E-04	5.20E-04	1.40E-04	3.10E-04	2.70E-04	2.80E-04	2.60E-04	3.20E-04	2.50E-04	3.50E-04	9.30E-05	2.70E-04	2.90E-04	2.50E-04	2.30E-04	1.90E-04	1.20E-04	2.60E-04	2.10E-04
concentration of enzyme	b3359	argD	7.30E-06	1.40E-05	1.30E-05	4.80E-06	7.10E-06	4.90E-06	1.30E-05	5.30E-06	6.80E-06	5.70E-06	8.00E-06	9.70E-06	5.40E-06	1.00E-05	1.20E-05	6.20E-06	7.00E-06	7.90E-06	1.00E-05	6.90E-06	8.70E-06	7.60E-06	1.10E-05	1.00E-05	7.30E-06	7.50E-06	7.90E-06	1.40E-05	1.10E-05	1.00E-05	1.20E-05
concentration of enzyme	b3368	cysG		1.60E-07	1.50E-07				1.80E-07		1.20E-07			1.30E-07		1.60E-07			1.70E-07	1.70E-07	1.70E-07		1.50E-07	1.70E-07		1.70E-07		1.90E-07	1.60E-07	1.10E-07	2.10E-07	1.80E-07	1.90E-07
concentration of enzyme	b3368	cysG		1.60E-07	1.50E-07				1.80E-07		1.20E-07			1.30E-07		1.60E-07			1.70E-07	1.70E-07	1.70E-07		1.50E-07	1.70E-07		1.70E-07		1.90E-07	1.60E-07	1.10E-07	2.10E-07	1.80E-07	1.90E-07
concentration of enzyme	b3389	aroB	2.40E-06	9.20E-07	1.00E-06	2.20E-06	2.50E-06	2.20E-06	1.10E-06	2.00E-06	9.30E-07	2.10E-06	2.30E-06	9.50E-07	1.80E-06	1.10E-06	1.80E-06	1.90E-06	8.80E-07	9.60E-07	9.10E-07	1.70E-06	9.50E-07	9.80E-07	1.70E-06	7.90E-07	1.60E-06	1.00E-06	1.20E-06	1.10E-06	1.10E-06	8.80E-07	1.40E-06
concentration of enzyme	b3412	bioH		7.40E-08	7.70E-08				8.70E-08		2.70E-07			1.00E-07		1.40E-07			7.90E-08	9.00E-08	8.10E-08		9.90E-08	6.90E-08		1.00E-07		9.70E-08	9.70E-08	2.40E-07	1.60E-07	1.00E-07	
concentration of enzyme	b3433	asd	2.70E-05	1.40E-05	1.70E-05	2.20E-05	3.70E-05	2.30E-05	2.10E-05	2.40E-05	3.60E-05	2.60E-05	4.10E-05	2.10E-05	2.80E-05	3.30E-05	4.80E-05	3.00E-05	2.30E-05	2.40E-05	2.40E-05	3.40E-05	3.40E-05	2.20E-05	5.70E-05	3.00E-05	3.80E-05	3.70E-05	4.30E-05	4.90E-05	5.50E-05	3.70E-05	4.10E-05
concentration of enzyme	b3607	cysE	2.30E-06	1.90E-06	1.70E-06	1.40E-06	2.30E-06	1.70E-06	1.90E-06	1.30E-06	1.70E-06	1.20E-06	1.80E-06	1.70E-06	1.30E-06	1.90E-06	1.40E-06	1.20E-06	1.80E-06	1.90E-06	2.30E-06	1.10E-06	2.00E-06	2.00E-06	1.30E-06	1.80E-06	9.70E-07	1.90E-06	9.90E-07	1.40E-06	1.90E-06	2.00E-06	2.10E-06
concentration of enzyme	b3608	gpsA	1.90E-06	1.50E-06	1.30E-06	2.10E-06	1.40E-06	2.20E-06	8.20E-07		1.30E-06	1.80E-06	1.20E-06	1.30E-06	1.90E-06	1.30E-06	1.00E-06	1.70E-06	1.40E-06	9.90E-07	1.20E-06	1.70E-06	1.10E-06	1.10E-06	9.60E-07	1.20E-06	1.50E-06	9.70E-07	1.20E-06	1.20E-06	1.30E-06	7.40E-07	8.80E-07
concentration of enzyme	b3633	waaA		1.20E-07	1.40E-07				5.90E-08		8.30E-08			1.40E-07		1.30E-07			1.10E-07	1.00E-07	1.30E-07		1.40E-07	5.70E-08		2.20E-07		5.00E-08		1.10E-07		9.50E-08	1.50E-07
concentration of enzyme	b3633	waaA		1.20E-07	1.40E-07				5.90E-08		8.30E-08			1.40E-07		1.30E-07			1.10E-07	1.00E-07	1.30E-07		1.40E-07	5.70E-08		2.20E-07		5.00E-08		1.10E-07		9.50E-08	1.50E-07
concentration of enzyme	b3634	coaD		1.70E-07	1.30E-07				2.50E-07		1.30E-07			1.10E-07		1.60E-07			1.40E-07	2.40E-07	1.60E-07		2.20E-07	2.20E-07		1.50E-07		1.70E-07	2.00E-07	2.20E-07	2.50E-07	1.90E-07	3.30E-07
concentration of enzyme	b3639	coaBC	2.60E-06	2.20E-06	1.70E-06	7.30E-07		7.20E-07	8.40E-07	5.20E-07	9.80E-07	6.40E-07		1.70E-06	6.00E-07	1.70E-06	1.90E-06	5.90E-07	9.00E-07	7.20E-07	1.30E-06	5.60E-07	9.40E-07	8.70E-07		1.70E-06	5.40E-07	9.60E-07	7.10E-07	8.90E-07	8.50E-07	9.60E-07	1.20E-06
concentration of enzyme	b3639	coaBC	2.60E-06	2.20E-06	1.70E-06	7.30E-07		7.20E-07	8.40E-07	5.20E-07	9.80E-07	6.40E-07		1.70E-06	6.00E-07	1.70E-06	1.90E-06	5.90E-07	9.00E-07	7.20E-07	1.30E-06	5.60E-07	9.40E-07	8.70E-07		1.70E-06	5.40E-07	9.60E-07	7.10E-07	8.90E-07	8.50E-07	9.60E-07	1.20E-06
