Gene,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
corA,276,483,352,195,229,414,332,349,502,452,630,657,220,195,147,356,169,183,324,352,215,296,21.55,31.03,24.14,13.92,13.03,6.63,10.20,8.12,43.84,32.58,25.16,27.93,27.68,22.17,35.21,7.94
lysA,726,169,146,369,622,513,712,545,736,516,326,194,144,146,693,681,851,770,492,377,724,960,3.84,7.30,8.45,7.70,5.13,7.79,15.01,16.23,21.40,23.45,3.99,13.49,10.04,18.60,3.72,8.83
nfo,205,281,340,124,149,228,198,205,188,155,127,107,266,211,506,435,446,375,237,245,226,262,6.37,42.98,10.37,6.59,19.04,12.58,73.75,56.12,28.23,30.32,2.21,21.78,8.56,17.41,4.73,6.41
yeeZ,327,247,186,202,186,207,216,238,244,230,228,212,201,209,331,372,401,304,251,225,152,273,3.32,8.39,2.26,12.68,4.72,3.05,0.24,7.49,17.06,30.84,5.11,10.11,6.63,19.34,2.63,5.80
yjdC,520,323,440,560,520,551,538,528,425,484,552,456,191,281,711,681,539,449,484,476,275,291,3.60,8.27,15.23,0.89,4.36,8.11,13.80,13.66,39.24,49.08,6.35,7.64,4.55,8.32,8.29,6.65
iscR,7687,7128,11688,4233,5207,5483,7084,6510,7181,4632,3916,2947,223,345,8214,4004,3097,7912,6878,3329,3458,5222,5.39,9.96,4.88,1.45,5.91,5.00,15.25,24.01,17.51,64.57,16.34,15.30,4.49,3.02,48.44,17.79
yqfB,700,1070,1084,1069,1005,913,890,1089,905,799,768,662,438,497,910,1010,931,891,871,655,784,823,11.60,11.65,7.35,3.23,6.24,0.62,11.97,9.13,21.36,12.86,8.13,5.43,6.08,5.53,13.29,4.99
ribB,371,1382,2260,231,351,449,631,465,265,152,174,98,242,253,392,265,423,332,240,264,223,279,18.86,14.85,20.99,27.04,30.05,7.87,23.70,27.72,9.53,46.87,4.46,9.38,5.57,8.14,17.88,33.47
minE,2057,4004,3044,2049,2533,2817,2871,2914,2587,2619,2042,1983,576,576,3370,3192,2432,3040,3111,2309,3041,2998,8.50,12.13,8.02,6.61,6.27,5.78,25.31,52.56,2.53,31.44,5.74,12.56,6.39,8.99,5.73,10.03
dkgB,91,120,158,76,82,118,131,74,86,75,56,60,79,199,214,152,135,133,90,60,79,103,18.34,4.96,11.72,15.09,13.37,4.91,6.61,45.19,5.08,38.10,47.70,32.83,14.73,2.68,9.49,4.85
mnmA,500,617,421,254,287,329,329,244,334,251,243,144,209,139,376,432,335,330,217,145,197,299,5.31,18.50,4.47,7.20,10.26,31.23,17.58,8.45,33.96,14.11,5.88,4.12,4.30,23.20,5.20,10.07
rclA,18,30,33,21,20,78,18,14,23,36,51,55,126,117,79,25,155,27,24,56,26,21,21.70,32.79,34.53,17.93,17.12,7.60,7.33,23.95,21.80,42.79,6.06,22.64,14.14,2.99,25.09,13.62
gatA,5671,21707,18110,22656,15486,12886,13472,12264,17605,19462,13134,10628,532,326,3033,1546,3733,6293,10253,6862,13360,7969,22.66,26.58,15.11,5.23,11.04,4.67,13.40,22.72,8.75,45.53,10.83,11.98,12.69,14.57,2.07,12.45
speE,1040,1133,779,314,661,593,540,421,555,373,307,263,154,170,796,549,513,469,486,457,490,572,1.59,9.60,9.25,4.90,9.86,2.91,6.22,24.77,6.47,16.29,6.33,37.76,8.82,1.14,8.14,6.50
iadA,223,511,425,116,125,136,119,102,111,93,60,46,112,131,236,206,209,190,107,60,146,145,13.02,9.67,16.78,10.72,8.91,7.15,24.79,9.21,10.03,15.93,9.05,8.25,7.57,13.65,12.62,13.31
ftsE,250,330,325,144,206,247,266,288,233,209,171,193,174,216,309,419,285,321,313,276,309,377,12.72,14.70,12.15,10.37,7.54,13.04,30.95,14.49,31.71,11.24,17.82,15.06,5.92,3.88,10.97,10.80
potA,249,530,431,135,188,206,184,114,243,205,136,146,146,120,207,219,222,276,192,132,202,236,4.24,18.50,2.77,7.25,5.26,5.63,12.44,14.74,16.17,12.92,8.68,3.93,12.54,14.22,9.16,16.31
rlmJ,302,540,419,116,171,203,186,147,146,116,100,83,130,155,255,174,215,204,175,143,168,217,5.46,11.36,19.55,11.72,16.99,2.27,26.90,5.04,32.46,23.83,10.80,8.92,7.75,8.68,14.68,13.35
aroH,300,175,115,100,141,167,166,136,171,118,69,66,129,119,311,339,373,221,143,149,187,254,2.88,5.84,7.46,18.23,4.75,11.82,3.42,9.48,13.78,15.72,10.17,3.75,5.54,11.92,1.46,6.10
yhfA,438,325,381,379,426,401,417,412,510,440,399,366,245,312,575,336,676,428,363,395,365,434,7.78,14.19,7.01,9.00,1.15,4.90,16.57,13.84,37.49,31.51,13.67,9.83,21.77,23.19,17.34,8.56
cmoA,556,499,453,260,333,380,397,271,347,201,202,207,206,161,399,612,393,439,287,249,262,323,7.97,21.49,4.68,6.44,7.34,7.76,19.66,36.95,18.01,7.44,16.77,0.85,15.35,4.47,12.58,6.05
mdoH,84,102,120,43,50,61,43,77,125,100,93,91,45,46,35,75,82,74,70,40,82,73,26.61,27.61,12.96,18.23,16.08,10.74,16.45,28.48,71.66,71.03,17.08,28.19,13.11,39.65,39.55,27.69
lolB,256,255,271,246,283,223,289,214,227,193,142,119,153,183,281,216,335,273,272,247,295,282,1.63,13.89,2.76,10.41,5.40,9.80,30.20,10.61,15.53,14.46,8.04,11.96,8.68,3.88,9.74,2.01
yiiD,134,200,132,156,178,162,151,164,178,278,190,206,131,114,124,307,229,148,168,175,167,158,2.34,16.61,2.59,26.72,1.65,9.94,14.58,18.57,28.37,19.66,15.35,9.54,3.00,4.66,9.48,16.18
rluD,391,513,532,317,247,237,201,266,275,271,224,212,125,113,264,366,303,186,194,158,176,197,10.88,29.73,14.99,15.78,15.00,3.99,4.93,10.55,7.41,31.63,8.37,21.76,12.40,21.15,13.57,15.21
baeR,276,188,217,164,171,193,181,131,136,118,113,90,94,148,341,435,317,272,180,196,152,218,7.93,26.46,12.76,13.52,15.61,11.01,30.70,4.71,13.02,11.26,6.42,10.15,2.05,14.49,15.95,6.38
appA,9,14,24,5,6,8,6,7,14,11,17,18,51,79,15,30,79,5,6,9,6,7,5.53,27.15,31.45,8.93,11.25,24.00,21.23,10.79,23.40,20.35,12.86,45.24,47.64,19.89,36.86,27.75
rimM,776,1686,1279,377,535,524,514,437,468,361,258,226,142,171,490,780,517,617,443,330,479,561,2.86,3.51,2.83,5.04,1.80,5.97,6.26,32.34,8.13,24.60,5.73,16.58,7.01,8.72,11.54,7.04
truD,233,294,220,144,162,125,170,161,143,128,117,111,81,90,157,320,232,165,160,75,147,171,2.31,13.91,12.40,4.43,3.39,6.97,15.47,10.55,18.40,10.22,5.73,14.74,12.37,22.63,6.72,8.26
rlmB,471,742,554,215,270,303,406,334,263,218,192,163,186,131,342,426,269,290,281,203,194,320,11.98,3.46,3.08,4.03,5.70,12.26,8.13,34.78,24.27,8.19,1.66,8.11,2.67,7.97,2.12,9.93
glnG,129,70,65,40,61,57,64,51,57,42,54,63,12,65,76,76,141,54,65,84,50,67,6.21,24.59,6.91,1.79,8.68,9.39,106.96,8.10,19.80,26.62,9.15,10.38,16.35,10.32,22.10,11.17
parC,125,268,133,62,68,90,95,109,132,100,73,61,34,40,60,125,70,98,112,56,89,139,15.65,29.23,5.65,5.37,13.89,4.40,4.96,17.76,20.18,41.51,5.27,6.97,10.07,19.39,23.29,18.45
mgtA,65,155,60,17,98,94,78,109,43,52,82,135,36,32,77,44,41,68,49,81,82,66,5.14,36.79,9.22,11.64,17.53,5.92,19.36,15.18,34.04,27.88,25.70,7.56,31.58,26.98,44.03,9.61
purK,227,185,207,91,139,164,165,212,137,79,60,47,76,81,276,340,274,287,256,127,226,318,6.37,6.88,4.44,12.26,1.93,5.72,23.02,24.88,2.31,4.30,2.34,16.69,5.03,19.31,8.66,4.67
yciK,319,237,202,139,184,211,245,221,194,188,176,167,114,115,321,442,361,285,223,213,171,279,7.66,20.52,11.70,11.59,12.75,18.28,16.92,9.59,17.27,5.02,3.27,4.14,6.07,15.69,9.15,3.03
yjiA,165,451,268,209,209,253,269,540,193,168,146,102,86,83,172,222,190,203,231,164,231,218,2.20,11.83,11.67,3.46,10.40,8.57,33.88,4.38,10.04,21.41,13.57,17.82,6.26,10.34,4.08,10.26
ydcF,240,130,131,199,206,188,211,296,181,176,210,231,84,99,270,262,207,232,270,309,169,223,4.93,12.46,10.04,7.15,2.13,9.50,9.75,41.08,10.94,31.62,4.87,15.38,7.91,1.54,8.61,5.12
mepS,1782,417,657,1530,3067,595,2407,3230,1567,1326,986,629,133,132,217,587,235,410,2817,1884,3549,2418,9.27,3.40,21.49,6.53,5.76,6.85,11.62,31.28,24.72,9.69,6.30,68.97,9.53,4.69,11.76,4.69
galT,151,482,340,102,120,150,147,172,109,115,91,77,56,70,132,168,115,136,138,791,116,110,7.96,3.82,11.88,9.35,10.61,7.05,25.75,19.65,41.32,13.90,11.24,5.24,2.52,4.55,7.70,9.89
mdaB,447,574,596,442,421,565,579,443,561,433,349,247,144,121,1241,1136,1070,777,539,313,528,785,6.16,10.81,6.76,3.15,4.31,10.82,15.65,18.89,19.97,16.47,5.35,13.13,5.93,2.25,4.06,11.68
glpT,53,1045,741,51,92,72,413,84,71,82,71,69,51,51,72,51,51,77,68,52,63,54,3.02,8.03,12.86,3.25,6.46,7.11,41.63,4.56,51.83,21.11,6.53,9.49,9.46,7.95,5.09,9.91
yecA,803,945,682,681,562,525,574,629,665,589,558,499,143,97,625,396,418,552,428,583,367,368,10.14,16.05,6.32,13.33,9.59,4.41,46.58,9.59,18.67,33.59,7.40,13.36,11.45,31.71,17.70,5.00
rob,102,185,112,115,113,108,119,97,126,132,137,158,42,70,63,133,111,67,80,88,65,79,15.48,16.67,12.34,4.56,7.90,14.20,11.01,25.09,26.89,21.52,21.07,15.83,1.99,22.78,23.71,4.36
fucO,41,234,67,211,127,118,83,102,91,154,195,247,54,54,24,41,41,53,135,189,133,50,22.41,7.04,8.44,1.83,3.02,4.16,51.97,4.07,38.26,40.33,4.57,21.07,1.53,16.14,10.54,42.24
livF,220,67,81,103,303,231,281,260,207,192,187,144,103,82,306,224,168,197,157,225,223,199,6.50,38.89,5.79,5.54,8.13,4.44,30.27,21.65,43.03,23.47,9.16,7.10,8.61,7.11,4.02,9.43
puuA,122,95,151,283,145,240,84,61,306,521,505,416,32,40,79,71,40,63,147,253,98,95,20.39,31.85,11.49,3.09,6.87,18.73,55.35,17.21,23.29,2.81,5.76,16.79,9.71,17.85,29.07,12.49
yigB,247,249,291,157,187,202,200,248,153,130,89,57,70,76,204,228,180,174,206,115,210,163,7.09,10.67,6.95,2.99,9.54,9.38,35.49,23.07,11.99,20.42,10.33,35.78,20.42,15.84,14.54,21.08
fadR,186,428,404,148,179,308,215,223,234,215,185,187,175,75,198,158,233,232,220,187,198,220,8.34,6.85,8.28,8.41,13.68,3.48,40.98,24.62,8.54,20.53,2.69,6.41,8.74,11.47,7.99,1.55
aroB,305,248,271,212,221,238,250,271,210,226,215,173,68,49,328,403,332,276,258,244,247,260,9.92,9.08,7.59,10.97,8.55,7.50,9.92,40.03,33.31,29.92,3.51,15.14,5.30,6.89,0.32,9.22
wecB,116,206,114,37,54,64,56,53,51,33,21,16,59,41,107,107,92,71,49,29,52,68,9.02,10.11,4.08,3.35,16.29,14.61,48.86,52.30,8.14,22.16,8.57,10.30,6.74,1.77,4.16,11.21
azoR,802,448,483,625,1019,510,752,411,732,443,276,155,72,80,1373,1418,956,1693,982,415,807,1118,10.89,5.26,16.77,3.48,9.75,7.20,14.93,38.96,26.67,25.33,8.09,3.90,7.70,17.29,13.48,6.58
rihA,143,1192,583,217,307,290,268,224,328,228,162,146,50,50,97,86,80,125,274,144,309,240,3.33,7.40,1.60,1.60,9.28,3.39,19.19,23.78,8.63,15.55,11.84,24.32,6.29,18.94,23.02,16.16
rstA,243,278,295,175,183,135,221,248,118,120,93,106,66,61,149,194,264,211,153,163,188,944,6.87,4.17,9.76,13.57,2.57,10.71,19.12,8.10,6.65,14.14,15.43,9.35,9.76,17.15,5.24,64.25
rihC,42,1217,735,211,366,154,212,255,292,382,328,283,47,49,63,52,28,62,315,137,258,86,6.26,9.06,16.26,4.82,10.78,8.41,11.37,55.77,43.97,41.98,9.48,24.34,9.29,5.85,9.73,36.62
yfiQ,17,19,13,24,42,33,24,44,49,71,98,125,9,16,17,16,13,16,43,44,32,20,23.47,47.81,9.38,13.87,1.17,6.85,78.45,24.08,38.55,59.99,60.43,6.07,23.15,28.17,36.53,4.41
exbD,368,267,507,142,221,215,282,239,210,115,92,59,164,97,920,454,597,569,193,157,262,339,4.84,7.93,5.25,9.51,8.81,9.08,9.97,14.25,2.98,5.96,2.87,2.31,10.65,10.37,26.02,2.73
modE,135,310,197,89,96,121,95,101,81,77,73,71,63,49,94,101,99,106,67,75,62,98,10.41,4.31,12.72,4.30,7.00,10.96,21.87,25.50,3.60,9.69,20.97,15.79,10.68,21.45,11.13,12.16
dnaA,66,134,88,51,75,68,77,59,98,74,58,59,25,25,50,106,46,74,75,46,66,79,6.99,19.59,14.56,5.32,15.12,9.77,32.99,14.49,28.64,44.84,14.81,8.95,2.60,15.64,3.58,12.26
dapE,74,154,95,51,47,59,60,54,80,69,51,39,25,32,93,47,130,85,45,40,69,95,2.00,29.09,11.57,11.50,12.34,12.32,26.02,13.16,29.36,29.83,15.29,16.84,2.94,17.48,20.79,21.83
gutQ,55,108,93,57,69,45,63,61,70,58,46,42,26,32,46,92,47,62,47,35,48,47,9.28,7.52,4.79,4.59,8.85,0.88,4.41,24.60,16.84,21.90,6.40,5.03,3.32,5.92,2.66,17.62
cusR,929,53,69,886,980,308,1059,744,541,449,349,336,53,43,129,723,384,505,949,1091,869,981,1.89,13.80,20.01,2.98,9.23,1.52,21.32,26.60,42.41,13.27,3.99,38.40,12.36,17.55,39.83,8.11
rlmM,122,167,117,61,67,69,84,90,72,68,57,51,25,26,44,100,53,68,84,65,62,98,0.99,3.88,11.03,9.92,8.64,1.61,7.63,13.52,24.08,20.83,16.42,10.10,8.78,9.42,15.26,12.32
mdoD,93,100,109,56,84,68,94,86,48,48,43,37,23,16,21,51,30,54,68,38,66,72,7.78,16.24,4.22,11.88,6.83,13.40,32.62,17.84,30.60,38.68,5.25,7.78,4.28,12.33,5.60,14.72
ptrA,49,30,31,28,36,27,35,48,25,28,24,26,3,8,12,15,17,19,29,28,23,34,14.71,4.41,17.83,18.07,17.30,24.53,34.21,17.96,8.96,45.95,18.42,17.96,19.75,17.99,16.45,17.41
miaA,80,92,79,60,54,44,65,84,33,28,29,19,24,20,36,115,54,65,60,36,37,70,14.25,9.90,7.27,3.61,18.00,8.78,29.77,19.00,18.32,8.29,3.61,7.05,3.19,3.28,14.34,19.15
spoT,14,39,33,16,15,26,15,20,38,40,37,36,12,9,15,21,11,10,13,10,9,22,20.26,41.20,5.47,4.37,15.23,3.01,2.72,8.73,12.34,13.67,31.63,23.72,49.30,20.29,59.93,58.08
ftsK,33,66,37,13,19,30,25,19,31,20,18,16,3,5,14,52,18,26,29,10,23,30,3.94,43.25,15.86,7.92,11.24,13.50,105.89,105.55,23.57,37.45,34.43,38.40,31.57,55.83,30.14,15.40
dhaL,95,130,294,51,50,120,221,45,81,79,79,68,27,28,71,56,53,70,71,53,33,57,16.16,12.36,27.74,22.27,8.95,15.19,66.93,61.23,19.49,30.78,16.56,11.34,5.35,10.20,29.36,4.13
speG,90,161,130,58,84,70,75,84,104,77,63,57,37,28,47,208,57,89,68,53,62,84,1.55,12.63,14.76,10.16,17.43,6.83,5.89,20.84,9.40,39.83,7.77,9.61,10.43,22.28,7.68,3.53
puuC,116,43,61,28,51,169,72,58,391,570,229,43,5,10,67,24,23,95,369,27,70,166,20.12,12.75,20.86,15.38,16.11,11.05,38.51,31.36,31.24,69.23,13.93,16.28,4.42,25.55,23.05,8.47
yedE,23,19,154,55,102,120,83,70,342,301,181,144,38,11,21,44,20,53,93,42,86,76,17.49,54.01,13.16,21.10,32.63,23.95,54.10,7.23,65.75,43.00,39.82,40.66,17.44,31.94,30.07,24.35
truB,77,182,156,54,69,67,69,79,76,57,58,45,10,13,30,46,28,43,52,33,38,54,17.25,5.73,6.05,8.68,22.48,7.04,22.74,23.27,6.08,3.64,8.85,38.55,34.02,20.55,25.73,16.53
mukF,54,122,93,35,50,46,54,45,54,50,46,42,10,7,33,41,21,45,41,28,37,35,0.81,10.52,8.95,1.23,12.83,9.54,22.57,9.30,19.71,20.30,8.34,8.49,8.73,12.56,6.65,15.53
nanA,81,5950,810,93,168,156,174,123,131,144,94,60,2,7,24,45,13,70,196,40,151,83,5.70,24.57,12.52,10.38,9.24,12.52,33.41,30.20,32.75,33.67,23.74,23.34,12.86,33.18,40.96,31.00
mrr,34,119,102,40,45,57,57,60,56,50,37,23,8,7,31,51,28,41,52,20,48,49,27.08,9.92,17.11,13.46,8.72,14.66,22.15,17.32,21.01,20.75,14.28,10.89,6.80,19.00,8.77,5.86
hyaB,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,11.81,23.76,31.16,15.83,66.03,16.69,72.63,17.68,10.46,42.73,78.81,48.58,81.48,28.18,55.38,18.54
trxA,20951,26242,25428,11139,14560,20034,18242,17400,14939,12758,11467,10279,16304,15355,24508,24498,27898,21449,19876,20591,17823,25227,8.89,18.48,5.23,5.46,5.79,8.19,7.46,1.28,18.11,5.28,2.95,3.85,8.65,3.62,3.98,0.53
slp,552,421,499,2360,714,1018,466,303,700,792,623,611,7580,7946,2147,1551,12769,1153,652,595,748,583,12.21,3.99,42.15,8.46,6.87,8.07,3.04,5.20,16.29,3.93,10.13,28.88,8.47,13.23,8.59,13.59
ygiW,1669,2167,3146,1709,2213,2688,2844,1595,1721,1849,2182,2335,8382,7045,5031,2775,6642,1668,2195,2210,1688,1618,7.90,12.06,15.35,7.85,14.73,4.72,14.06,38.07,17.57,39.83,11.06,10.66,3.70,14.91,19.34,7.22
ptsH,24850,16746,19193,9533,11946,21858,13501,12590,20570,13546,9835,6327,9569,10741,21376,24930,26036,10488,17417,12378,15247,26658,9.47,6.91,11.93,9.32,2.26,7.50,7.59,1.46,21.51,1.94,5.21,4.49,6.11,9.26,2.10,11.66
ybjP,1344,1174,1817,1806,2105,1919,1979,1413,1969,1960,1996,2133,5521,4404,3546,2807,3427,1852,1728,1991,1344,1324,3.92,15.71,8.96,5.00,2.43,1.03,13.27,8.63,7.53,19.98,6.67,9.83,8.57,11.73,20.47,9.14
rpsS,19008,51051,33384,7899,11758,11610,13707,10256,11619,7839,5153,4656,7532,6372,17918,18328,17060,16630,12778,7558,12140,20308,2.51,8.87,6.66,5.31,14.18,10.01,4.65,7.41,0.84,13.71,3.03,3.21,3.09,11.54,6.18,6.04
rpsU,28385,70780,47960,9984,16062,19399,20777,15417,17301,12279,9013,7760,9950,7654,25230,23941,26057,22332,15866,10753,16345,22684,6.32,7.91,0.81,5.04,4.37,5.57,14.64,13.33,2.38,22.10,10.40,8.43,10.56,4.56,8.19,0.97
clpB,119,423,156,136,155,177,132,114,127,120,130,129,612,547,171,525,375,118,118,72,104,118,5.06,17.02,10.24,5.75,6.56,7.30,3.70,3.37,10.89,22.87,10.27,19.01,9.69,11.13,10.64,1.75
eda,3635,4879,3845,2352,2242,3003,2180,2549,2894,2391,1771,1251,2085,1788,4824,3948,5194,3394,2368,2037,2726,3579,7.47,7.05,4.08,1.77,2.35,3.45,12.35,11.73,20.11,7.76,0.10,8.36,3.62,8.12,12.29,7.03
fklB,4381,7989,8368,1797,3166,3429,3350,3593,2728,2104,1557,1080,1697,1628,5052,2790,4055,3380,2992,1848,3216,3581,6.22,9.80,3.00,7.07,4.54,2.49,10.91,8.97,9.21,12.49,5.62,3.91,2.69,3.18,6.29,1.29
yggE,948,1276,1067,674,832,789,863,692,954,816,600,700,1083,1282,1204,1778,1460,992,962,944,932,862,5.55,7.47,14.75,19.81,14.92,8.34,29.05,2.43,16.78,18.39,6.43,16.36,7.53,20.60,18.34,14.50
yajG,4572,6632,7749,2378,3603,3648,4049,4053,3884,3531,2444,1984,1380,1509,3022,2695,2206,3463,3582,2460,3702,3824,19.51,5.02,10.03,8.16,6.42,8.11,3.52,10.52,4.19,8.24,8.81,8.83,21.47,5.93,8.85,1.69
accB,2574,6082,4425,1380,1953,2023,2201,2022,1890,1472,1250,1096,2017,1864,3278,3766,2688,2308,2071,1658,2256,2381,3.77,8.74,4.92,4.94,4.53,8.75,8.75,8.74,11.73,11.89,21.86,4.00,6.70,2.44,3.01,7.24
yciO,706,1088,827,723,744,899,813,711,784,649,729,794,1052,1190,1231,796,1234,864,788,974,648,774,9.72,13.46,9.09,7.66,10.44,4.73,23.28,4.04,14.87,6.95,13.86,8.37,7.05,17.48,5.07,8.92
sodB,4213,22543,5752,4287,4801,7067,4590,4198,4594,5703,4462,3389,1412,1220,2538,6806,4210,3225,4759,2783,5850,4440,2.42,7.80,11.19,3.22,0.59,3.09,3.59,3.44,2.72,6.05,5.65,15.75,3.70,2.66,5.30,4.82
sodC,346,280,267,268,308,530,298,244,212,203,369,462,1627,1373,812,262,716,241,291,719,194,237,6.51,6.00,23.43,5.16,9.28,8.62,8.86,21.75,12.97,13.75,18.95,4.03,7.76,18.40,3.10,17.70
zapB,10839,17591,13745,8451,6621,7419,8727,7765,8404,6656,4934,4293,2641,2333,10477,10488,7872,8457,6681,4126,4364,8105,3.67,9.15,9.09,7.14,9.11,6.05,7.21,5.14,20.72,42.75,9.65,10.16,6.99,7.03,16.03,9.26
seqA,1357,2745,1706,809,951,1097,1019,991,907,772,697,655,1119,1095,1530,3080,1738,1308,1019,870,1004,1388,10.46,13.47,13.01,3.77,6.27,8.10,17.76,27.10,4.44,13.74,3.95,13.52,6.54,17.63,7.87,7.26
proP,268,410,126,54,75,128,92,46,130,85,74,64,344,330,642,418,597,298,129,104,114,226,10.24,23.32,22.87,8.24,41.91,13.92,16.53,33.48,34.22,9.93,8.40,24.33,44.69,20.18,20.84,19.61
lsrB,85,121,144,163,353,111,65,100,66,111,216,415,540,452,102,194,166,102,94,291,269,91,7.51,38.33,19.60,17.48,21.51,9.20,13.23,23.14,28.37,18.31,26.41,34.54,15.82,17.79,36.81,22.27
cusF,29517,1548,1473,21140,28965,5118,39220,19299,12582,11219,5782,4886,1440,1296,4740,17581,19261,10240,31343,15480,28457,34791,3.55,13.33,19.09,5.32,7.30,13.80,20.25,10.45,3.81,60.04,12.60,28.75,7.83,12.13,35.08,16.12
yciF,270,112,132,690,410,478,358,214,400,467,849,1053,885,809,604,562,513,167,410,955,241,166,3.32,4.34,24.76,11.97,9.82,8.99,10.89,8.24,26.64,29.68,12.45,13.61,8.62,11.04,25.33,14.66
yraP,754,1312,891,487,709,817,793,819,688,575,499,453,985,741,1231,1026,1114,739,633,637,553,630,4.10,6.93,6.31,2.28,9.56,6.25,6.57,1.93,14.33,12.24,5.61,6.01,3.01,11.65,3.72,4.85
yegP,386,165,111,349,433,542,367,269,355,418,486,629,1412,1223,727,562,1000,307,457,874,317,288,2.17,5.83,10.87,4.81,2.67,4.31,10.85,6.37,10.59,10.85,18.21,6.30,2.78,17.25,18.27,6.81
yfcE,907,1310,881,471,538,784,584,610,697,520,475,439,619,725,1326,1792,1495,901,548,600,587,672,11.65,8.51,5.25,4.10,6.00,4.63,7.87,12.09,16.57,7.82,10.97,12.78,3.85,11.08,4.60,5.53
ptsN,861,1917,1181,710,827,824,901,828,907,909,799,656,755,699,1113,789,1000,865,1258,2407,1339,886,6.77,9.09,2.27,6.60,16.26,16.86,10.66,10.70,5.08,7.75,4.81,13.73,1.72,35.11,8.16,12.10
engB,1218,1681,1735,706,962,1081,999,950,756,633,575,502,483,514,947,939,932,983,965,998,1094,1029,6.82,11.25,4.98,0.73,2.76,2.41,6.22,3.62,6.01,1.35,2.07,3.80,9.55,4.95,9.25,1.58
menB,558,1263,679,489,535,558,531,465,519,470,405,429,232,378,545,761,829,614,516,509,575,470,10.99,1.90,3.59,5.70,0.56,5.37,20.53,24.07,29.54,34.10,5.24,9.50,2.48,7.31,3.45,1.92
tatA,2477,4227,3284,973,1654,2050,1799,1794,1587,1336,1219,1164,1320,1223,2384,2659,2367,1793,1666,1386,1441,1955,2.63,17.25,2.62,9.40,4.33,12.68,26.63,11.49,24.69,5.32,5.59,4.82,11.47,12.61,9.59,3.98
kdgK,547,968,941,548,554,513,479,508,460,351,272,205,154,307,661,639,707,578,371,375,281,452,8.77,11.80,9.65,13.30,5.60,17.93,17.95,9.02,4.03,17.83,1.31,5.02,9.56,13.00,1.67,37.79
glnQ,698,803,1067,742,1081,951,1003,1107,1049,1169,951,847,242,328,628,1357,645,966,1066,828,1118,861,4.38,7.44,7.49,5.67,5.87,9.43,24.48,26.43,16.05,9.81,28.55,16.38,13.37,3.64,2.01,10.93
gmk,437,799,795,194,279,269,293,232,270,203,160,136,331,366,519,515,537,432,274,279,277,368,1.75,8.52,9.60,1.65,12.76,2.23,19.74,4.67,14.52,1.87,8.10,13.96,9.46,2.23,3.88,9.37
amyA,109,78,110,113,144,122,183,99,111,109,96,86,132,142,251,83,224,168,185,166,156,162,3.85,18.59,22.28,11.64,12.94,8.38,12.29,12.15,22.96,23.16,1.86,8.18,4.18,9.52,30.51,11.27
gpsA,327,949,518,307,349,306,301,323,327,303,274,276,277,204,337,262,391,270,277,179,255,217,6.59,2.33,11.38,3.90,2.15,12.11,21.82,26.29,18.75,26.60,4.16,17.19,7.90,11.56,11.65,11.91
metJ,990,1222,643,689,774,770,651,640,641,609,566,552,624,598,1032,993,1418,778,510,547,594,668,8.70,4.00,13.19,6.54,2.72,13.47,17.04,2.06,39.84,5.79,6.26,11.30,3.37,5.68,7.31,9.31
pitA,208,288,267,92,156,168,152,252,184,143,123,107,106,134,97,235,177,195,219,124,188,241,20.85,43.93,7.94,20.58,8.71,23.03,20.07,8.57,8.54,9.32,16.21,22.28,32.44,16.98,17.11,21.20
ypfJ,126,99,99,97,104,169,136,101,125,109,111,105,86,224,221,151,159,145,72,140,96,80,9.66,8.90,2.10,13.07,5.28,32.62,21.63,1.82,31.60,31.63,28.03,18.57,32.67,31.60,28.22,4.62
rlmI,172,429,412,92,120,146,154,140,168,122,101,95,78,156,217,204,386,297,181,127,167,349,7.28,17.50,13.94,17.98,18.93,27.75,19.76,35.77,52.99,25.72,23.35,34.00,18.05,36.66,26.11,26.63
pdxH,302,232,282,238,292,264,301,302,293,246,197,164,180,271,417,443,450,464,297,229,323,347,9.07,2.11,5.09,15.29,11.84,5.44,19.11,4.73,34.63,31.47,7.05,22.05,11.89,14.81,5.21,12.90
yigL,854,1177,753,502,549,715,617,570,646,482,436,393,122,231,529,543,657,564,747,450,628,689,6.25,12.35,21.00,7.32,18.93,0.26,13.18,20.29,10.81,38.90,17.55,6.05,15.33,12.89,3.02,13.06
secF,465,1250,963,928,635,790,544,495,792,719,574,576,265,183,233,407,327,353,473,271,478,560,41.20,18.88,18.88,30.36,5.19,9.10,6.40,14.75,3.90,20.43,13.31,7.90,20.48,9.14,14.25,6.86
